Group_name,Species,SpeciesID,Fct_group,Comment,Ecogroup_Phillips,Acc_name,Species_Briones,Ecogroup_Briones,Species_final,Genus,Percent_Epigeic,Percent_Anecic,Percent_Endogeic,Ecogroup_Bottinelli,Ecogroup
Earthworms,Dichogaster baeri,Dicho_baer,NA,NA,Epigeic,Dichogaster baeri,NA,NA,Dichogaster baeri,Dichogaster,NA,NA,NA,NA,Epigeic
Earthworms,Dichogaster bolaui,Dicho_bola,NA,NA,Epi-Endogeic,Dichogaster bolaui,Dichogaster bolaui,Epi-Endogeic,Dichogaster bolaui,Dichogaster,NA,NA,NA,NA,Epi-Endogeic
Earthworms,Dichogaster ehrhardti,Dicho_ehrh,NA,NA,Epigeic,Dichogaster ehrhardti,NA,NA,Dichogaster ehrhardti,Dichogaster,NA,NA,NA,NA,Epigeic
Earthworms,Dichogaster gracilis,Dicho_grac,NA,NA,Epi-Endogeic,Dichogaster gracilis,NA,NA,Dichogaster gracilis,Dichogaster,NA,NA,NA,NA,Epi-Endogeic
Earthworms,Dichogaster leroyi,Dicho_lero,NA,NA,Epigeic,Dichogaster leroyi,NA,NA,Dichogaster leroyi,Dichogaster,NA,NA,NA,NA,Epigeic
Earthworms,Dichogaster mamillata,Dicho_mami,NA,NA,Epigeic,Dichogaster mamillata,NA,NA,Dichogaster mamillata,Dichogaster,NA,NA,NA,NA,Epigeic
Earthworms,Dichogaster modiglianii,Dicho_modi,NA,NA,NA,Dichogaster modiglianii,NA,NA,Dichogaster modiglianii,Dichogaster,NA,NA,NA,NA,NA
Earthworms,Dichogaster notabilis,Dicho_nota,NA,NA,Epigeic,Dichogaster notabilis,NA,NA,Dichogaster notabilis,Dichogaster,NA,NA,NA,NA,Epigeic
Earthworms,Dichogaster papillosa,Dicho_papi,NA,NA,Epigeic,Dichogaster papillosa,NA,NA,Dichogaster papillosa,Dichogaster,NA,NA,NA,NA,Epigeic
Earthworms,Dichogaster saliens,Dicho_sali,NA,NA,Epi-Endogeic,Dichogaster saliens,NA,NA,Dichogaster saliens,Dichogaster,NA,NA,NA,NA,Epi-Endogeic
Earthworms,Dichogaster terraenigrae,Dicho_terr,NA,NA,Endogeic,Dichogaster terraenigrae,NA,NA,Dichogaster terraenigrae,Dichogaster,NA,NA,NA,NA,Endogeic
Earthworms,Diplocardia hulberti,Diplo_hulb,NA,NA,Epi-Endogeic,Diplocardia hulberti,NA,NA,Diplocardia hulberti,Diplocardia,NA,NA,NA,NA,Epi-Endogeic
Earthworms,Diplocardia kansensis,Diplo_kans,NA,NA,Epigeic,Diplocardia kansensis,NA,NA,Diplocardia kansensis,Diplocardia,NA,NA,NA,NA,Epigeic
Earthworms,Diplocardia longiseta,Diplo_long,NA,NA,Endogeic,Diplocardia longiseta,NA,NA,Diplocardia longiseta,Diplocardia,NA,NA,NA,NA,Endogeic
Earthworms,Diplocardia singularis,Diplo_sing,NA,NA,Endogeic,Diplocardia singularis,NA,NA,Diplocardia singularis,Diplocardia,NA,NA,NA,NA,Endogeic
Earthworms,Diplotrema oxcutzcabensis,Diplo_oxcu,NA,NA,Endogeic,Diplotrema oxcutzcabensis,NA,NA,Diplotrema oxcutzcabensis,Diplotrema,NA,NA,NA,NA,Endogeic
