"IUCNcat","sumCell","SpeciesID","coverage","SSP","coverage_km2"
"Not.Reported",16583.4075910106,"Dendr_octa_ssp126_mean",0.2041,"ssp126",82917.04
"Outside.PA",43990.9667470003,"Dendr_octa_ssp126_mean",0.5414,"ssp126",219954.83
"Presence",81260,"Dendr_octa_ssp126_mean",1,"ssp126",406300
"Protected",17871.9160791505,"Dendr_octa_ssp126_mean",0.2199,"ssp126",89359.58
"Unprotected",63388.0839208495,"Dendr_octa_ssp126_mean",0.7801,"ssp126",316940.42
"V",13393.3504507197,"Dendr_octa_ssp126_mean",0.1648,"ssp126",66966.75
"VI",355.881892258159,"Dendr_octa_ssp126_mean",0.0044,"ssp126",1779.41
"Ia",130.253578377745,"Dendr_octa_ssp370_mean",0.0016,"ssp370",651.27
"Ib",230.269267431507,"Dendr_octa_ssp370_mean",0.0028,"ssp370",1151.35
"II",1183.09845758433,"Dendr_octa_ssp370_mean",0.0146,"ssp370",5915.49
"III",51.0221291786664,"Dendr_octa_ssp370_mean",6e-04,"ssp370",255.11
"IV",2469.07382150212,"Dendr_octa_ssp370_mean",0.0305,"ssp370",12345.37
